identifier	(	)	{	}	,	=	integerLiteral	*	+	<	!	if	else	while	int	;	$	program'	program	function	parameterList	assignmentStatement	expression	declarationStatement	conditionalStatement	loopStatement	statement	blockStatement
s4	 	 	 	 	 	 	 	 	 	 	 	s11	 	s10	s5	s9	r3	 	1	2	 	6	 	 	8	7	3	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	acc	 	 	 	 	 	 	 	 	 	 	 
s4	 	 	 	 	 	 	 	 	 	 	 	s11	 	s10	s5	s9	r3	 	12	2	 	6	 	 	8	7	3	 
s4	 	 	 	 	 	 	 	 	 	 	 	s11	 	s10	s5	s9	r3	 	13	2	 	6	 	 	8	7	3	 
 	s14	 	 	 	 	s15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
s17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	16	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s18	 	 	 	 	 	 	 	 	 	 	 	 
r22	 	 	 	r22	 	 	 	 	 	 	 	r22	 	r22	r22	r22	r22	 	 	 	 	 	 	 	 	 	 	 
r23	 	 	 	r23	 	 	 	 	 	 	 	r23	 	r23	r23	r23	r23	 	 	 	 	 	 	 	 	 	 	 
r24	 	 	 	r24	 	 	 	 	 	 	 	r24	 	r24	r24	r24	r24	 	 	 	 	 	 	 	 	 	 	 
 	s19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	s20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r1	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r2	 	 	 	 	 	 	 	 	 	 	 
s22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21	 	 	 	 	 	 	 
